"Município","ibge","latitude","longitude","/Exportações/Total 2010 (US$ FOB)","/Exportações/Total 2011 (US$ FOB)","/Exportações/Total 2012 (US$ FOB)","/Exportações/Total 2013 (US$ FOB)","/Exportações/Total 2014 (US$ FOB)","/Exportações/Total 2015 (US$ FOB)","/Exportações/Total 2016 (US$ FOB)","/Exportações/Total 2017 (US$ FOB)","/Exportações/Total 2018 (US$ FOB)","/Exportações/Total 2019 (US$ FOB)","/Exportações/Total 2020 (US$ FOB)","/Exportações/Total 2021 (US$ FOB)"
"Capão da Canoa","4304630","-29.639700000000","-49.959899999990","-","-","-","-","67.488","-","-","-","-","-","-","-"
"Capão do Cipó","4304655","-28.904000000000","-54.700000000000","-","1.900.000","6.000.000","9.839.315","6.160.255","2.500.000","-","-","-","-","-","-"
"Capão do Leão","4304663","-31.756499999990","-52.488900000000","19.187.110","26.160.716","9.317.292","7.335.950","12.768.973","11.871.663","8.146.818","5.499.937","42.184.650","39.729.959","45.766.192","12.537.646"
"Capela de Santana","4304689","-29.696100000000","-51.328000000000","84.345","246","5.355","443","7.315","18.412","-","-","436.850","1.513.257","799.726","490.109"
"Capitão","4304697","-29.267399999990","-51.985300000000","-","-","-","-","-","-","-","-","-","-","-","1.027"
"Capivari do Sul","4304671","-30.138200000000","-50.515099999990","1.458.106","1.942.858","3.831.346","1.789.767","1.603.353","1.484.038","668.693","217.985","172.282","223.968","-","-"
"Carazinho","4304705","-28.295800000000","-52.793300000000","878.783","22.100","78.933","156.881","125.479","99.300","136.034","852.172","1.062.714","511.892","338.385","687.167"
"Carlos Barbosa","4304804","-29.296900000000","-51.502899999990","155.044.580","184.365.651","155.030.985","163.772.485","162.605.552","155.536.411","158.598.393","175.776.674","180.249.220","184.528.926","209.532.426","331.609.872"
"Casca","4304903","-28.560500000000","-51.981499999990","145.369","309.774","449.360","336.625","444.776","868.500","411.948","1.384.914","1.403.888","1.046.041","1.531.924","1.353.769"
"Caseiros","4304952","-28.258199999990","-51.686100000000","-","-","-","-","-","-","-","-","-","-","24.492","249.031"
"Caxias do Sul","4305108","-29.162900000000","-51.179200000000","859.541.399","1.033.901.012","1.042.196.415","915.902.778","852.216.130","763.899.489","749.111.606","767.000.953","827.503.817","683.306.565","498.848.508","563.604.123"
"Cerro Largo","4305207","-28.146200000000","-54.742800000000","123.835","155.089","107.997","206.998","99.762","15.239","30.254","157.062","165.463","79.545","36.732","98.615"
